City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
169,Piro,IN,2022-03-24 23:33:35,25.3333,84.4167,73.06,23,1,7.61
170,Katherine,AU,2022-03-24 23:33:35,-14.4667,132.2667,79.12,73,0,3.44
171,Nuuk,GL,2022-03-24 23:33:35,64.1835,-51.7216,20.01,58,75,1.14
172,Marsa Matruh,EG,2022-03-24 23:33:36,31.3525,27.2453,53.8,62,75,12.66
173,Lata,PT,2022-03-24 23:33:37,40.1629,-8.3327,57.07,91,100,4.59
174,Vigrestad,NO,2022-03-24 23:33:37,58.5667,5.7,41.83,90,53,5.66
175,Chuy,UY,2022-03-24 23:29:34,-33.6971,-53.4616,66.25,57,44,13.02
176,Nanortalik,GL,2022-03-24 23:33:38,60.1432,-45.2371,27.28,75,100,5.99
177,Santa Rosa Del Sur,CO,2022-03-24 23:33:38,7.9644,-74.0544,78.08,66,71,3.09
178,Poum,NC,2022-03-24 23:33:39,-20.2333,164.0167,80.38,72,64,4.27
179,Yellowknife,CA,2022-03-24 23:32:01,62.456,-114.3525,7.41,58,0,12.66
180,Muros,ES,2022-03-24 23:32:21,42.7762,-9.0603,54.84,56,1,9.64
181,Urucara,BR,2022-03-24 23:34:40,-2.5364,-57.76,75.85,98,26,1.52
182,Nadym,RU,2022-03-24 23:34:41,65.5333,72.5167,8.02,92,95,7.96
183,Kristiinankaupunki,FI,2022-03-24 23:34:41,62.2743,21.376,30.72,99,96,1.92
184,Klyuchi,RU,2022-03-24 23:34:41,52.2667,79.1667,11.26,97,69,6.91
185,Sassandra,CI,2022-03-24 23:34:42,4.95,-6.0833,78.21,93,8,4.5
186,Avanigadda,IN,2022-03-24 23:34:43,16.0215,80.9181,76.21,93,8,3.78
187,Cefalu,IT,2022-03-24 23:30:01,38.0386,14.0229,53.55,65,0,4.0
188,Batagay,RU,2022-03-24 23:34:43,67.6333,134.6333,3.49,87,95,3.04
189,Saint-Augustin,CA,2022-03-24 23:34:44,51.226,-58.6502,16.92,90,50,5.01
190,Meulaboh,ID,2022-03-24 23:29:56,4.1363,96.1285,76.62,90,20,3.91
191,Tshikapa,CD,2022-03-24 23:34:44,-6.4167,20.8,72.16,81,3,2.3
192,Sao Filipe,CV,2022-03-24 23:30:31,14.8961,-24.4956,70.83,70,1,12.26
193,Hihya,EG,2022-03-24 23:34:45,30.6713,31.588,44.26,86,10,8.7
194,Alofi,NU,2022-03-24 23:34:46,-19.0595,-169.9187,79.48,79,100,17.29
195,Tessalit,ML,2022-03-24 23:34:46,20.1986,1.0114,79.0,10,66,8.61
196,Beisfjord,NO,2022-03-24 23:34:47,68.3751,17.5988,30.25,83,100,5.21
197,Norman Wells,CA,2022-03-24 23:34:47,65.282,-126.8329,6.84,51,75,10.36
198,Bonthe,SL,2022-03-24 23:34:48,7.5264,-12.505,77.38,89,37,4.34
199,Inyonga,TZ,2022-03-24 23:34:48,-6.7167,32.0667,62.74,96,70,3.27
200,Adrar,MR,2022-03-24 23:34:49,20.5022,-10.0711,67.95,28,0,14.63
201,Grenaa,DK,2022-03-24 23:34:49,56.4158,10.8783,43.02,66,6,1.01
202,Camopi,GF,2022-03-24 23:34:50,3.1655,-52.3158,72.37,99,100,2.35
203,Aripuana,BR,2022-03-24 23:31:14,-9.1667,-60.6333,74.46,98,99,0.83
204,Kita,ML,2022-03-24 23:34:50,13.0349,-9.4895,87.71,37,81,3.74
205,Balestrand,NO,2022-03-24 23:34:51,61.2076,6.5334,45.0,87,99,4.85
206,Centralia,US,2022-03-24 23:32:16,46.7162,-122.9543,57.96,61,0,10.36
207,Maniitsoq,GL,2022-03-24 23:34:52,65.4167,-52.9,14.13,73,100,4.63
