City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
311,Nanortalik,GL,60.1432,-45.2371,31.42,82,58,4.61,broken clouds
312,Placido De Castro,BR,-10.3353,-67.1856,80.91,81,98,1.66,overcast clouds
313,Miri,MY,4.4148,114.0089,75.34,100,40,1.14,scattered clouds
314,Formosa Do Rio Preto,BR,-11.0483,-45.1931,79.25,62,78,0.49,broken clouds
315,Dongsheng,CN,39.8161,109.9776,41.54,50,100,11.54,overcast clouds
316,Jasper,US,37.2001,-94.3502,71.11,31,0,12.66,clear sky
317,Jalu,LY,29.0331,21.5482,66.18,13,17,12.33,few clouds
318,Ciudad Del Maiz,MX,22.4,-99.6,82.22,25,30,10.8,scattered clouds
319,Chilakalurupet,IN,16.0833,80.1667,77.14,91,6,4.9,clear sky
320,Rio Grande,BR,-32.035,-52.0986,77.11,69,1,11.23,clear sky
321,Palauig,PH,15.435,119.9045,79.99,70,41,3.85,scattered clouds
322,Westport,US,41.1415,-73.3579,30.81,32,40,25.32,scattered clouds
323,Glenwood Springs,US,39.5505,-107.3248,70.72,29,40,11.5,scattered clouds
324,Imeni Poliny Osipenko,RU,52.4201,136.4853,11.34,99,100,4.38,overcast clouds
325,Solnechnyy,RU,50.7214,136.6319,22.68,92,83,5.66,broken clouds
326,Orlik,RU,52.5178,99.825,0.59,94,77,2.8,broken clouds
327,Charcas,MX,23.1333,-101.1167,80.67,10,10,8.72,clear sky
328,Celle,DE,52.6226,10.0805,45.37,84,40,3.44,scattered clouds
329,Sigulda,LV,57.1519,24.8647,34.77,86,43,3.0,scattered clouds
330,Severnyy,RU,50.677,36.5532,41.04,45,0,17.9,clear sky
331,Okitipupa,NG,6.5047,4.7839,80.19,86,49,3.2,scattered clouds
332,Pisco,PE,-13.7,-76.2167,73.45,68,0,23.02,clear sky
333,Vardo,NO,70.3705,31.1107,28.76,64,100,24.29,light snow
334,Cutro,IT,39.0353,16.9819,49.12,73,14,6.51,few clouds
335,Loubomo,CG,-4.1997,12.6739,72.72,97,100,3.67,overcast clouds
336,Pilar,BR,-9.5972,-35.9567,80.53,81,72,3.62,broken clouds
337,Burnie,AU,-41.0667,145.9167,60.76,91,91,9.01,overcast clouds
338,Marawi,PH,7.9986,124.2928,67.89,91,98,2.68,overcast clouds
339,Kharan,PK,28.5833,65.4167,75.6,11,0,8.34,clear sky
340,Pochutla,MX,15.7432,-96.4661,87.82,36,100,8.01,overcast clouds
341,Neiafu,TO,-18.65,-173.9833,83.08,83,75,11.5,broken clouds
342,Bundaberg,AU,-24.85,152.35,71.22,83,3,6.91,clear sky
343,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,88.43,48,0,5.06,clear sky
344,Cuenca,EC,-2.8833,-78.9833,60.93,94,75,12.66,broken clouds
345,Souillac,MU,-20.5167,57.5167,75.58,88,20,4.61,few clouds
346,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.71,84,65,7.78,broken clouds
